Track URI,Track Name,Artist Name(s),Album Name,Genres,Tempo,Energy,Valence,Danceability,Duration (ms),Source
spotify:track:3MRQ3CSjoiV1HFil8ykM9M,I Still Haven't Found What I'm Looking For - Remastered 2007,U2,The Joshua Tree,rock,100.891,0.764,0.686,0.565,277480,Mix_de_rock
spotify:track:3l8Ennt1PqShViwh0tkWuc,La Madre de Jose,El Canto Del Loco,Estados de Animo,,101.022,0.937,0.946,0.629,191346,"Pachangueo_80,_90_y_00"
spotify:track:6C4LXC9UFH1IKiHYOp0BiJ,Sunday Bloody Sunday - Remastered 2008,U2,War (Remastered),rock,101.174,0.944,0.735,0.543,279440,Pure_Rock_&_Roll
spotify:track:4nuUssdgKFy2QyYHHNkZQW,Sunday Bloody Sunday - Remastered 2008,U2,War (Deluxe Edition Remastered),rock,101.174,0.944,0.735,0.543,279440,Rock_Classics
spotify:track:0QQHPRbgLJJ5XNzJV1l9BW,María,Ricky Martin,A Medio Vivir,pop latino,101.181,0.914,0.968,0.723,262573,"Pachangueo_80,_90_y_00"
spotify:track:2USlegnFJLrVLpoVfPimKB,Thunder,Gabry Ponte;LUM!X;Prezioso,Thunder,"italo dance,slap house,melbourne bounce",101.216,0.896,0.403,0.67,160000,trainingpeaks_virtual
spotify:track:39yTMy0EAS5ufZaIC6ebJO,Unstoppable - R3HAB Remix,Sia;R3HAB,This Is Acting (10th Anniversary Edition),"slap house,edm",101.893,0.753,0.454,0.678,162352,Cycling_Energy_Mix
spotify:track:4jp4Z02kzzg8gK0NmDGgml,Play,K-391;Alan Walker;Tungevaag;Mangoo,Play,"big room,eurodance",101.944,0.798,0.168,0.52,167976,This_Is_Alan_Walker
spotify:track:0F3v8p8ZnEGtZDxNcJ5Klq,Unstoppable - R3HAB Remix,Sia;R3HAB,Unstoppable (R3HAB Remix),"slap house,edm",101.987,0.744,0.433,0.678,162352,trainingpeaks_virtual
spotify:track:48QmG1dfvMuYLxMPt7KSRA,No Lie,Sean Paul;Dua Lipa,Mad Love The Prequel,"dancehall,pop",102.04,0.882,0.463,0.742,221176,Radio_Imagine_Dragons
spotify:track:6esrIQuXxZaThJbYtPIppl,Narcotic - Radio Edit,Liquido,Narcotic,,102.064,0.607,0.446,0.616,236150,Mix_de_Gigi_D'Agostino
spotify:track:1H5VQuShs4qfwBXyHF0PeH,Narcotic - Radio Edit,Liquido,Narcotic,,102.068,0.607,0.446,0.617,236150,trainingpeaks_virtual
spotify:track:6vZZtivPrtpggT5SSXsYTy,Solsbury Hill,Peter Gabriel,Peter Gabriel 1: Car (Remastered),art rock,102.378,0.631,0.463,0.678,261560,Rock_Classics
spotify:track:30ddpolNHwXlrS5XO8MiiO,"Marta, Sebas, Guille y los demás",Amaral,Pájaros En La Cabeza,,102.473,0.853,0.66,0.598,223186,"Pachangueo_80,_90_y_00"
spotify:track:3NEd95cTt10M4uzc5EAZlQ,Last of Mohicans,DJ Nano;Dany Bpm,Last of Mohicans,,102.533,0.832,0.0496,0.281,250489,trainingpeaks_virtual
spotify:track:6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers;Coldplay,Memories...Do Not Open,,103.019,0.635,0.446,0.617,247160,Radio_Imagine_Dragons
spotify:track:4CznlctarxgWvy3NoMFfMH,Lonely Together,Avicii;Rita Ora,Avicii Forever,edm,103.111,0.596,0.285,0.632,181730,This_Is_Avicii
spotify:track:3DQVgcqaP3iSMbaKsd57l5,I Bet You Look Good On The Dancefloor,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not","indie,garage rock",103.183,0.948,0.778,0.535,173680,Pure_Rock_&_Roll
spotify:track:5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,Bob Marley & The Wailers,Uprising,"reggae,roots reggae",103.314,0.72,0.761,0.916,237000,Radio_Black_or_White
spotify:track:5KkSRdbyIT2JbWPUxiaFXe,911,R3HAB;Timmy Trumpet,911,"slap house,edm,melbourne bounce,big room",103.562,0.786,0.137,0.451,128695,Cycling_Energy_Mix
spotify:track:1EytZ5aKjaGDsk8ujrFWoV,Three Little Birds,Timmy Trumpet;Prezioso;71 Digits,Three Little Birds,"melbourne bounce,big room,italo dance,slap house",103.563,0.787,0.383,0.478,156630,mix_alegre
spotify:track:3mRM4NM8iO7UBqrSigCQFH,Stayin' Alive - From Saturday Night Fever Soundtrack,Bee Gees,Greatest,disco,103.564,0.827,0.944,0.703,285373,Radio_Black_or_White
spotify:track:05NYcsjJwOYq4jIiKPVj9p,Hard To Handle,The Black Crowes,Shake Your Money Maker,"rock sureño,improvisación,rock",103.783,0.79,0.961,0.599,188066,Rock_Classics
spotify:track:6pPWRBubXOBAHnjl5ZIujB,The Best,Tina Turner,Foreign Affair,,103.867,0.737,0.744,0.662,329800,Radio_Black_or_White
spotify:track:14XWXWv5FoCbFzLksawpEe,Riders on the Storm,The Doors,L.A. Woman,"rock psicodélico,rock clásico,rock ácido",103.886,0.722,0.716,0.55,434720,Rock_Classics
spotify:track:43btz2xjMKpcmjkuRsvxyg,Jack & Diane,John Mellencamp,American Fool,rock clásico,103.963,0.41,0.626,0.811,254493,Pure_Rock_&_Roll
spotify:track:2kWowW0k4oFymhkr7LmvzO,Come with Me Now,KONGOS,Lunatic,,103.987,0.726,0.728,0.654,211960,Pure_Rock_&_Roll
